lead_id,company_id,lead_source,campaign,created_at,mql_at,sql_at
L0070,C0032,Organic,organic-q4,2025-05-01,,
L0071,C0099,Cold Outbound,cold-q2,2025-05-30,,
L0072,C0205,Paid Search,paid-q1,2025-08-12,,
L0073,C0155,Webinar,webinar-q3,2025-11-09,2025-11-13,2025-11-25
L0074,C0200,Referral,referral-q3,2025-05-02,2025-05-22,2025-05-29
L0075,C0067,Organic,organic-q2,2025-02-10,,
L0076,C0126,Organic,organic-q1,2025-10-20,2025-10-24,2025-11-18
L0077,C0095,Paid Search,paid-q2,2025-01-19,,
L0078,C0080,Webinar,webinar-q4,2025-03-31,2025-04-15,
L0079,C0082,Webinar,webinar-q4,2026-02-26,2026-03-16,2026-04-05
L0080,C0034,Webinar,webinar-q1,2025-02-23,,
L0081,C0078,Paid Search,paid-q2,2025-11-25,2025-12-04,
L0082,C0073,Trade Show,trade-q3,2026-02-21,2026-03-12,2026-04-04
L0083,C0129,Paid Search,paid-q2,2025-11-21,2025-12-03,
L0084,C0212,Paid Search,paid-q1,2026-04-13,2026-05-03,2026-05-12
L0085,C0164,Paid Search,paid-q4,2026-04-11,,
L0086,C0165,Paid Search,paid-q4,2025-07-07,2025-07-21,2025-07-26
L0087,C0107,Webinar,webinar-q4,2025-01-02,2025-01-08,2025-02-02
L0088,C0041,Organic,organic-q3,2025-06-11,2025-06-18,
L0089,C0128,Paid Search,paid-q4,2025-07-01,2025-07-15,
L0090,C0056,Trade Show,trade-q1,2025-05-16,2025-06-02,
L0091,C0173,Trade Show,trade-q3,2025-01-16,2025-01-21,
L0092,C0187,Trade Show,trade-q4,2025-05-03,2025-05-17,2025-06-06
L0093,C0183,Referral,referral-q4,2025-06-05,2025-06-11,2025-06-30
L0094,C0168,Paid Search,paid-q1,2025-09-21,,
L0095,C0162,Webinar,webinar-q2,2025-04-18,,
L0096,C0147,Organic,organic-q2,2026-01-20,2026-02-01,2026-02-17
L0097,C0199,Paid Search,paid-q1,2025-01-15,,
L0098,C0144,Paid Search,paid-q4,2025-06-14,,
L0099,C0045,Organic,organic-q3,2025-01-27,,
L0100,C0185,Cold Outbound,cold-q4,2025-08-15,2025-08-24,2025-09-05
L0101,C0123,Organic,organic-q2,2025-10-05,,
L0102,C0144,Organic,organic-q2,2025-08-07,2025-08-27,2025-08-31
L0103,C0164,Paid Search,paid-q1,2025-09-16,2025-09-28,
L0104,C0198,Webinar,webinar-q1,2025-12-23,,
L0105,C0041,Trade Show,trade-q4,2025-03-22,2025-03-30,
L0106,C0074,Organic,organic-q1,2026-03-13,,
L0107,C0190,Organic,organic-q2,2026-04-04,2026-04-11,
L0108,C0215,Referral,referral-q4,2025-04-01,2025-04-12,
L0109,C0146,Referral,referral-q3,2026-01-23,2026-02-11,2026-02-18
L0110,C0050,Paid Search,paid-q3,2026-01-17,2026-02-02,
L0111,C0004,Cold Outbound,cold-q3,2025-06-01,,
L0112,C0045,Cold Outbound,cold-q4,2025-03-23,,
L0113,C0172,Webinar,webinar-q2,2026-02-04,,
L0114,C0064,Paid Search,paid-q3,2026-05-06,2026-05-22,
L0115,C0078,Trade Show,trade-q3,2026-05-01,,
L0116,C0016,Cold Outbound,cold-q4,2026-01-11,2026-01-25,
L0117,C0181,Trade Show,trade-q1,2025-06-28,,
L0118,C0095,Trade Show,trade-q2,2025-09-28,,
L0119,C0117,Paid Search,paid-q4,2025-04-25,,
L0120,C0194,Trade Show,trade-q2,2025-10-01,,
L0121,C0202,Paid Search,paid-q4,2026-02-18,,
L0122,C0145,Paid Search,paid-q1,2026-01-18,,
L0123,C0052,Trade Show,trade-q2,2025-12-10,2025-12-28,
L0124,C0184,Cold Outbound,cold-q1,2024-12-28,,
L0125,C0015,Paid Search,paid-q2,2025-02-02,,
L0126,C0015,Paid Search,paid-q3,2025-01-24,,
L0127,C0210,Paid Search,paid-q2,2026-05-09,,
L0128,C0089,Referral,referral-q1,2026-03-08,,
L0129,C0121,Webinar,webinar-q3,2026-04-10,2026-04-16,
L0130,C0166,Trade Show,trade-q3,2025-03-08,,
L0131,C0097,Paid Search,paid-q1,2025-04-23,,
L0132,C0139,Cold Outbound,cold-q3,2025-12-27,2026-01-15,
L0133,C0058,Webinar,webinar-q1,2026-05-09,,
L0134,C0185,Paid Search,paid-q4,2025-03-04,,
L0135,C0089,Organic,organic-q3,2025-12-05,2025-12-10,2026-01-03
L0136,C0037,Organic,organic-q4,2025-09-28,2025-10-01,
L0137,C0189,Paid Search,paid-q4,2025-11-14,,
L0138,C0089,Referral,referral-q3,2025-04-17,2025-05-02,2025-05-17
L0139,C0173,Organic,organic-q1,2026-04-02,2026-04-22,
L0140,C0123,Paid Search,paid-q3,2025-10-11,2025-10-13,2025-10-22
L0141,C0194,Webinar,webinar-q2,2025-01-07,,
L0142,C0102,Cold Outbound,cold-q3,2025-09-09,,
L0143,C0137,Paid Search,paid-q3,2025-05-10,2025-05-28,
L0144,C0206,Paid Search,paid-q3,2025-01-17,,
L0145,C0106,Paid Search,paid-q2,2026-03-27,,
L0146,C0142,Referral,referral-q3,2025-03-11,2025-03-23,2025-04-13
L0147,C0168,Paid Search,paid-q3,2025-06-01,,
L0148,C0186,Paid Search,paid-q4,2024-12-26,2025-01-08,2025-01-28
L0149,C0139,Trade Show,trade-q1,2026-03-13,,
L0150,C0210,Webinar,webinar-q1,2026-03-24,2026-04-02,2026-04-09
L0151,C0062,Paid Search,paid-q3,2025-10-28,,
L0152,C0102,Organic,organic-q3,2026-02-21,,
L0153,C0063,Paid Search,paid-q3,2025-09-23,,
L0154,C0168,Trade Show,trade-q1,2026-04-10,2026-04-24,
L0155,C0003,Referral,referral-q1,2025-11-18,2025-12-03,2025-12-16
L0156,C0211,Trade Show,trade-q1,2025-03-31,2025-04-20,2025-05-05
L0157,C0099,Paid Search,paid-q1,2025-12-20,,
L0158,C0014,Trade Show,trade-q4,2026-02-01,2026-02-05,
L0159,C0153,Cold Outbound,cold-q3,2025-04-01,2025-04-11,
L0160,C0059,Paid Search,paid-q4,2025-05-13,2025-06-02,
L0161,C0159,Webinar,webinar-q2,2025-07-14,,
L0162,C0040,Webinar,webinar-q2,2025-04-18,,
L0163,C0028,Organic,organic-q1,2026-02-08,,
L0164,C0195,Paid Search,paid-q1,2025-08-09,2025-08-16,
L0165,C0132,Paid Search,paid-q1,2025-03-21,2025-04-03,
L0166,C0201,Paid Search,paid-q4,2025-06-14,2025-06-29,
L0167,C0144,Webinar,webinar-q2,2025-09-06,,
L0168,C0069,Webinar,webinar-q3,2025-07-08,2025-07-12,2025-07-23
L0169,C0111,Paid Search,paid-q3,2025-12-24,2026-01-01,
L0170,C0102,Webinar,webinar-q3,2025-06-20,,
L0171,C0148,Cold Outbound,cold-q3,2025-09-06,,
L0172,C0101,Trade Show,trade-q1,2025-05-04,,
L0173,C0140,Organic,organic-q1,2025-11-09,,
L0174,C0182,Paid Search,paid-q4,2025-10-10,,
L0175,C0018,Trade Show,trade-q4,2025-03-20,2025-03-31,2025-04-24
L0176,C0174,Trade Show,trade-q3,2025-03-29,,
L0177,C0003,Paid Search,paid-q3,2026-02-01,2026-02-19,
L0178,C0057,Cold Outbound,cold-q3,2025-02-10,,
L0179,C0151,Cold Outbound,cold-q2,2024-12-16,,
L0180,C0027,Referral,referral-q4,2025-07-14,,
L0181,C0213,Webinar,webinar-q3,2025-12-18,2026-01-03,
L0182,C0090,Paid Search,paid-q1,2025-01-10,2025-01-26,
L0183,C0208,Organic,organic-q1,2026-01-15,,
L0184,C0174,Cold Outbound,cold-q2,2025-11-25,,
L0185,C0085,Paid Search,paid-q4,2025-03-02,2025-03-16,
L0186,C0169,Webinar,webinar-q4,2025-02-24,2025-03-04,2025-03-20
L0187,C0101,Paid Search,paid-q3,2026-01-16,2026-02-01,
L0188,C0181,Trade Show,trade-q1,2025-07-12,,
L0189,C0062,Organic,organic-q1,2025-07-04,2025-07-10,
L0190,C0036,Paid Search,paid-q4,2025-04-15,2025-05-04,
L0191,C0045,Cold Outbound,cold-q4,2025-11-23,2025-11-30,
L0192,C0014,Paid Search,paid-q1,2025-05-10,,
L0193,C0099,Organic,organic-q4,2024-12-11,2024-12-28,2025-01-14
L0194,C0090,Paid Search,paid-q4,2026-02-12,,
L0195,C0208,Webinar,webinar-q2,2025-09-12,,
L0196,C0090,Paid Search,paid-q2,2025-02-28,,
L0197,C0209,Cold Outbound,cold-q1,2025-10-13,,
L0198,C0153,Paid Search,paid-q3,2025-11-21,,
L0199,C0147,Organic,organic-q1,2025-08-12,2025-08-27,
L0200,C0168,Trade Show,trade-q2,2026-01-03,2026-01-15,
L0201,C0174,Cold Outbound,cold-q4,2025-04-05,2025-04-15,
L0202,C0020,Paid Search,paid-q4,2026-02-06,,
L0203,C0095,Organic,organic-q4,2025-02-01,2025-02-03,
L0204,C0024,Trade Show,trade-q3,2025-01-28,,
L0205,C0102,Trade Show,trade-q4,2025-10-01,,
L0206,C0083,Paid Search,paid-q3,2025-07-26,,
L0207,C0219,Webinar,webinar-q3,2025-01-01,,
L0208,C0012,Cold Outbound,cold-q4,2026-01-31,2026-02-07,
L0209,C0110,Referral,referral-q2,2025-10-17,,
L0210,C0071,Organic,organic-q3,2026-02-06,2026-02-19,
L0211,C0014,Cold Outbound,cold-q3,2025-04-02,,
L0212,C0110,Cold Outbound,cold-q1,2026-02-08,2026-02-25,2026-03-18
L0213,C0036,Trade Show,trade-q2,2025-04-16,,
L0214,C0018,Cold Outbound,cold-q2,2026-05-04,,
L0215,C0161,Cold Outbound,cold-q4,2025-12-08,,
L0216,C0056,Paid Search,paid-q1,2026-02-13,2026-02-18,
L0217,C0110,Paid Search,paid-q2,2025-06-24,2025-06-28,2025-07-20
L0218,C0200,Paid Search,paid-q3,2026-04-15,2026-05-03,2026-05-18
L0219,C0004,Paid Search,paid-q2,2025-08-17,2025-08-20,
L0220,C0074,Paid Search,paid-q4,2024-12-15,2024-12-29,2025-01-18
L0221,C0022,Webinar,webinar-q1,2025-06-29,2025-07-07,
L0222,C0084,Webinar,webinar-q1,2025-04-07,2025-04-22,
L0223,C0015,Trade Show,trade-q1,2025-09-04,,
L0224,C0157,Webinar,webinar-q3,2026-03-17,,
L0225,C0045,Cold Outbound,cold-q1,2026-01-10,,
L0226,C0042,Cold Outbound,cold-q3,2024-12-20,,
L0227,C0185,Cold Outbound,cold-q2,2025-08-20,,
L0228,C0069,Cold Outbound,cold-q1,2026-01-12,2026-01-27,2026-02-01
L0229,C0220,Trade Show,trade-q4,2026-04-06,2026-04-15,
L0230,C0070,Cold Outbound,cold-q3,2026-02-22,2026-02-25,2026-03-16
L0231,C0018,Trade Show,trade-q3,2025-01-21,,
L0232,C0023,Organic,organic-q1,2025-01-30,2025-02-10,
L0233,C0160,Organic,organic-q4,2025-09-06,2025-09-23,
L0234,C0188,Cold Outbound,cold-q2,2025-09-03,2025-09-18,2025-10-08
L0235,C0003,Trade Show,trade-q1,2025-06-03,,
L0236,C0189,Paid Search,paid-q1,2025-07-02,2025-07-11,
L0237,C0037,Trade Show,trade-q1,2025-07-30,2025-08-08,
L0238,C0180,Paid Search,paid-q4,2025-04-26,,
L0239,C0025,Webinar,webinar-q2,2024-12-11,,
L0240,C0152,Paid Search,paid-q4,2026-03-10,,
L0241,C0075,Webinar,webinar-q3,2025-08-18,,
L0242,C0213,Paid Search,paid-q3,2025-06-12,2025-06-21,2025-06-30
L0243,C0214,Referral,referral-q2,2025-06-11,2025-06-20,
L0244,C0013,Paid Search,paid-q3,2025-07-10,,
L0245,C0104,Webinar,webinar-q2,2025-02-03,2025-02-08,
L0246,C0004,Webinar,webinar-q2,2026-03-10,2026-03-24,2026-04-16
L0247,C0151,Webinar,webinar-q1,2025-08-20,2025-08-24,2025-09-16
L0248,C0039,Paid Search,paid-q2,2026-04-07,,
L0249,C0141,Paid Search,paid-q1,2025-01-07,2025-01-21,2025-01-30
L0250,C0064,Trade Show,trade-q4,2026-04-23,,
L0251,C0140,Paid Search,paid-q3,2025-01-01,,
L0252,C0100,Paid Search,paid-q2,2025-08-09,2025-08-18,2025-08-29
L0253,C0189,Organic,organic-q1,2025-05-10,,
L0254,C0146,Paid Search,paid-q2,2025-12-18,,
L0255,C0127,Trade Show,trade-q2,2025-06-30,2025-07-04,2025-07-26
L0256,C0170,Paid Search,paid-q1,2025-04-02,2025-04-14,2025-04-22
L0257,C0164,Paid Search,paid-q3,2024-12-30,2025-01-18,
L0258,C0202,Trade Show,trade-q2,2025-05-12,,
L0259,C0097,Trade Show,trade-q3,2025-07-02,2025-07-04,
L0260,C0101,Trade Show,trade-q2,2026-04-09,,
L0261,C0157,Trade Show,trade-q1,2025-09-28,,
L0262,C0191,Webinar,webinar-q2,2026-02-22,2026-03-06,2026-03-11
L0263,C0187,Cold Outbound,cold-q4,2025-06-03,2025-06-11,2025-06-16
L0264,C0185,Cold Outbound,cold-q1,2026-05-11,,
L0265,C0043,Cold Outbound,cold-q4,2025-03-15,,
L0266,C0097,Paid Search,paid-q4,2026-01-29,,
L0267,C0195,Paid Search,paid-q2,2025-09-24,2025-09-27,2025-10-10
L0268,C0043,Trade Show,trade-q2,2025-02-22,2025-03-06,2025-03-15
L0269,C0187,Paid Search,paid-q3,2025-08-14,2025-08-19,2025-09-09
L0270,C0014,Paid Search,paid-q1,2025-05-08,2025-05-19,
L0271,C0123,Cold Outbound,cold-q1,2025-10-20,2025-10-27,
L0272,C0122,Trade Show,trade-q3,2026-01-14,,
L0273,C0170,Paid Search,paid-q1,2025-08-14,,
L0274,C0095,Paid Search,paid-q3,2025-04-17,2025-04-20,2025-05-07
L0275,C0219,Webinar,webinar-q2,2026-04-07,2026-04-23,2026-05-01
L0276,C0033,Trade Show,trade-q4,2026-03-30,2026-04-14,2026-05-07
L0277,C0068,Trade Show,trade-q4,2025-04-15,,
L0278,C0045,Paid Search,paid-q4,2025-08-03,2025-08-17,2025-08-30
L0279,C0122,Referral,referral-q3,2025-08-10,2025-08-21,2025-09-08
L0280,C0059,Cold Outbound,cold-q3,2025-12-26,,
L0281,C0212,Paid Search,paid-q3,2025-06-18,,
L0282,C0023,Paid Search,paid-q4,2025-11-01,2025-11-16,
L0283,C0096,Cold Outbound,cold-q2,2026-03-16,2026-04-03,
L0284,C0135,Cold Outbound,cold-q2,2026-04-13,2026-04-21,
L0285,C0117,Organic,organic-q3,2026-03-22,,
L0286,C0211,Organic,organic-q4,2025-01-22,,
L0287,C0008,Webinar,webinar-q3,2025-09-07,2025-09-23,2025-10-11
L0288,C0042,Paid Search,paid-q1,2025-08-21,2025-09-04,2025-09-25
L0289,C0057,Organic,organic-q2,2025-09-24,2025-10-09,
L0290,C0197,Trade Show,trade-q4,2026-05-03,,
L0291,C0154,Cold Outbound,cold-q2,2026-05-04,2026-05-15,
L0292,C0071,Cold Outbound,cold-q4,2025-03-05,,
L0293,C0056,Paid Search,paid-q3,2025-01-20,,
L0294,C0102,Trade Show,trade-q1,2026-01-28,2026-02-10,
L0295,C0073,Paid Search,paid-q1,2025-07-11,,
L0296,C0071,Organic,organic-q3,2025-06-14,2025-06-25,2025-07-14
L0297,C0207,Trade Show,trade-q3,2025-03-25,,
L0298,C0168,Cold Outbound,cold-q3,2024-12-19,2025-01-03,
L0299,C0150,Cold Outbound,cold-q3,2025-10-30,,
L0300,C0137,Organic,organic-q3,2025-01-10,2025-01-17,
L0301,C0047,Trade Show,trade-q1,2025-07-16,2025-07-26,
L0302,C0047,Paid Search,paid-q1,2025-06-03,2025-06-12,
L0303,C0202,Organic,organic-q3,2025-06-07,2025-06-18,
L0304,C0014,Webinar,webinar-q4,2026-03-01,,
L0305,C0175,Paid Search,paid-q3,2025-04-17,2025-04-23,2025-05-02
L0306,C0118,Trade Show,trade-q3,2025-12-17,,
L0307,C0021,Webinar,webinar-q3,2024-12-29,,
L0308,C0163,Webinar,webinar-q1,2026-03-14,2026-03-22,
L0309,C0196,Webinar,webinar-q4,2025-12-01,,
L0310,C0034,Cold Outbound,cold-q4,2025-02-22,,
L0311,C0099,Trade Show,trade-q1,2026-05-08,2026-05-21,
L0312,C0194,Trade Show,trade-q1,2025-10-29,,
L0313,C0064,Cold Outbound,cold-q3,2025-09-23,2025-09-28,
L0314,C0043,Paid Search,paid-q1,2026-03-07,2026-03-18,
L0315,C0135,Paid Search,paid-q4,2025-06-01,,
L0316,C0088,Trade Show,trade-q3,2024-12-27,,
L0317,C0208,Webinar,webinar-q1,2025-03-25,2025-03-31,2025-04-03
L0318,C0094,Webinar,webinar-q4,2026-04-04,,
L0319,C0137,Organic,organic-q1,2026-03-24,,
L0320,C0006,Cold Outbound,cold-q1,2026-03-24,,
L0321,C0141,Paid Search,paid-q4,2025-08-27,,
L0322,C0176,Organic,organic-q3,2026-05-03,2026-05-08,
L0323,C0156,Organic,organic-q4,2025-12-23,,
L0324,C0185,Webinar,webinar-q3,2026-01-12,2026-01-17,2026-02-08
L0325,C0186,Paid Search,paid-q3,2026-01-29,,
L0326,C0076,Paid Search,paid-q4,2025-08-15,2025-08-22,
L0327,C0093,Trade Show,trade-q4,2025-06-26,,
L0328,C0195,Webinar,webinar-q1,2026-03-27,,
L0329,C0044,Cold Outbound,cold-q3,2025-06-10,,
L0330,C0069,Trade Show,trade-q3,2026-02-06,,
L0331,C0103,Webinar,webinar-q4,2025-03-29,2025-04-12,
L0332,C0108,Paid Search,paid-q1,2025-11-23,2025-11-26,
L0333,C0027,Trade Show,trade-q4,2025-03-12,,
L0334,C0047,Cold Outbound,cold-q3,2025-04-19,,
L0335,C0215,Trade Show,trade-q4,2025-12-30,,
L0336,C0106,Webinar,webinar-q1,2025-02-15,2025-02-27,2025-03-23
L0337,C0072,Organic,organic-q2,2026-03-22,,
L0338,C0210,Paid Search,paid-q1,2025-09-14,2025-10-04,
L0339,C0115,Trade Show,trade-q1,2025-06-23,,
L0340,C0005,Cold Outbound,cold-q4,2026-01-27,,
L0341,C0001,Paid Search,paid-q3,2026-02-08,,
L0342,C0168,Paid Search,paid-q3,2025-01-30,2025-02-02,
L0343,C0085,Trade Show,trade-q3,2025-01-13,,
L0344,C0195,Webinar,webinar-q1,2025-09-27,2025-10-08,2025-10-22
L0345,C0043,Referral,referral-q2,2024-12-24,,
L0346,C0105,Cold Outbound,cold-q3,2026-01-23,,
L0347,C0219,Webinar,webinar-q2,2025-04-05,2025-04-13,
L0348,C0107,Webinar,webinar-q1,2026-03-26,,
L0349,C0169,Paid Search,paid-q2,2024-12-12,,
L0350,C0189,Referral,referral-q4,2026-03-24,,
L0351,C0131,Paid Search,paid-q2,2025-11-12,,
L0352,C0100,Webinar,webinar-q4,2025-06-17,2025-06-26,2025-07-09
L0353,C0035,Paid Search,paid-q4,2025-12-22,,
L0354,C0132,Trade Show,trade-q3,2025-07-10,,
L0355,C0162,Trade Show,trade-q2,2025-10-02,2025-10-13,
L0356,C0034,Trade Show,trade-q3,2025-11-11,,
L0357,C0144,Cold Outbound,cold-q4,2025-01-06,,
L0358,C0137,Trade Show,trade-q4,2025-07-24,,
L0359,C0007,Paid Search,paid-q2,2025-04-17,2025-04-20,2025-04-28
L0360,C0038,Cold Outbound,cold-q3,2026-03-10,2026-03-29,2026-04-15
L0361,C0052,Cold Outbound,cold-q2,2025-02-13,,
L0362,C0166,Cold Outbound,cold-q2,2025-05-01,,
L0363,C0076,Trade Show,trade-q2,2025-02-07,,
L0364,C0045,Webinar,webinar-q4,2026-01-10,2026-01-20,
L0365,C0150,Webinar,webinar-q1,2025-08-24,2025-08-30,2025-09-12
L0366,C0161,Cold Outbound,cold-q4,2025-07-08,,
L0367,C0019,Paid Search,paid-q2,2025-06-21,,
L0368,C0202,Paid Search,paid-q2,2024-12-11,2024-12-30,
L0369,C0055,Paid Search,paid-q3,2025-06-07,2025-06-15,
L0370,C0122,Paid Search,paid-q1,2026-05-03,,
L0371,C0165,Paid Search,paid-q1,2025-09-05,,
L0372,C0204,Organic,organic-q4,2026-01-16,2026-01-27,2026-02-15
L0373,C0206,Paid Search,paid-q4,2024-12-08,,
L0374,C0167,Organic,organic-q3,2025-10-27,2025-11-01,2025-11-21
L0375,C0054,Cold Outbound,cold-q4,2025-10-06,,
L0376,C0213,Organic,organic-q1,2025-02-21,,
L0377,C0118,Webinar,webinar-q1,2025-06-07,2025-06-10,2025-06-21
L0378,C0059,Paid Search,paid-q4,2025-08-21,2025-09-04,
L0379,C0173,Referral,referral-q1,2026-01-11,2026-01-15,
L0380,C0180,Paid Search,paid-q3,2026-02-27,,
L0381,C0202,Webinar,webinar-q1,2025-07-08,2025-07-24,2025-08-17
L0382,C0022,Paid Search,paid-q2,2025-07-04,,
L0383,C0089,Trade Show,trade-q4,2025-10-08,,
L0384,C0037,Trade Show,trade-q2,2025-11-29,2025-12-09,2025-12-17
L0385,C0014,Paid Search,paid-q1,2025-01-25,2025-01-29,2025-02-07
L0386,C0085,Paid Search,paid-q2,2025-05-12,,
L0387,C0073,Organic,organic-q2,2026-03-02,2026-03-18,2026-04-11
L0388,C0125,Cold Outbound,cold-q2,2026-01-21,,
L0389,C0072,Webinar,webinar-q2,2025-12-20,2025-12-24,
L0390,C0218,Trade Show,trade-q1,2024-12-09,,
L0391,C0197,Paid Search,paid-q1,2025-10-07,,
L0392,C0139,Paid Search,paid-q2,2025-01-14,2025-01-23,
L0393,C0220,Paid Search,paid-q2,2025-07-19,,
L0394,C0102,Paid Search,paid-q1,2025-05-05,,
L0395,C0207,Trade Show,trade-q2,2025-11-24,2025-12-01,
L0396,C0038,Paid Search,paid-q3,2025-01-02,2025-01-19,2025-01-30
L0397,C0053,Referral,referral-q4,2025-05-08,2025-05-24,
L0398,C0167,Referral,referral-q1,2025-06-15,2025-07-03,2025-07-14
L0399,C0140,Organic,organic-q4,2025-11-15,,
L0400,C0168,Paid Search,paid-q3,2026-02-22,2026-03-03,
L0401,C0089,Paid Search,paid-q4,2024-12-30,,
L0402,C0036,Referral,referral-q2,2025-02-16,2025-03-06,2025-03-15
L0403,C0047,Webinar,webinar-q1,2025-03-23,,
L0404,C0211,Cold Outbound,cold-q1,2025-07-26,2025-08-12,
L0405,C0213,Webinar,webinar-q2,2025-03-18,,
L0406,C0047,Trade Show,trade-q2,2025-08-15,,
L0407,C0117,Organic,organic-q2,2026-03-03,2026-03-09,2026-03-18
L0408,C0176,Trade Show,trade-q2,2025-03-09,,
L0409,C0158,Webinar,webinar-q1,2026-04-03,2026-04-09,
L0410,C0001,Paid Search,paid-q4,2025-02-25,2025-02-28,
L0411,C0206,Paid Search,paid-q4,2025-01-04,2025-01-24,2025-01-31
L0412,C0105,Trade Show,trade-q1,2025-05-07,2025-05-27,2025-06-16
L0413,C0071,Paid Search,paid-q2,2025-04-01,2025-04-20,
L0414,C0143,Paid Search,paid-q3,2025-01-02,,
L0415,C0199,Paid Search,paid-q2,2025-03-31,,
L0416,C0192,Cold Outbound,cold-q4,2025-09-19,,
L0417,C0026,Trade Show,trade-q4,2025-10-05,,
L0418,C0158,Trade Show,trade-q2,2026-03-20,2026-03-22,
L0419,C0121,Trade Show,trade-q1,2025-02-21,2025-03-02,
