deal_id,company_id,lead_id,owner_id,amount,created_at,current_stage,is_closed,is_won,closed_at
D0109,C0150,L1224,R011,14185,2025-05-04,Proposal,0,0,
D0110,C0201,L1244,R007,34364,2025-11-03,Proposal,0,0,
D0111,C0185,L1246,R006,33165,2025-09-22,Proposal,0,0,
D0112,C0057,L1316,R003,19955,2026-03-07,Closed Lost,1,0,2026-05-05
D0113,C0006,L1325,R011,43949,2026-02-17,Proposal,0,0,
D0114,C0192,L1339,R011,24700,2026-02-08,Closed Won,1,1,2026-03-27
D0115,C0024,L1349,R008,34487,2025-12-27,Closed Lost,1,0,2026-03-14
D0116,C0108,L1360,R004,16104,2026-02-04,Opportunity,0,0,
D0117,C0146,L1364,R010,21294,2026-02-24,Negotiation,0,0,
D0118,C0145,L1365,R005,7724,2025-07-16,Closed Lost,1,0,2025-09-05
D0119,C0024,L1378,R003,34153,2025-08-07,Closed Lost,1,0,2025-09-24
D0120,C0078,L1385,R011,175733,2025-03-21,Proposal,0,0,
D0121,C0069,L1394,R010,26329,2025-11-27,Closed Lost,1,0,2026-02-15
D0122,C0139,L1399,R012,17195,2025-10-12,Closed Lost,1,0,2026-01-01
D0123,C0054,L1406,R010,13584,2025-06-01,Closed Lost,1,0,2025-09-14
D0124,C0095,L1417,R001,15008,2025-10-04,Closed Lost,1,0,2025-11-11
D0125,C0095,L1429,R008,38014,2025-05-31,Opportunity,0,0,
D0126,C0017,L1448,R003,33491,2025-04-10,Closed Won,1,1,2025-05-31
D0127,C0211,L1479,R009,21605,2025-05-30,Closed Lost,1,0,2025-07-09
D0128,C0191,L1480,R010,15994,2025-11-08,Opportunity,0,0,
D0129,C0012,L1485,R008,64955,2025-12-30,Closed Lost,1,0,2026-03-08
D0130,C0037,L1488,R004,34618,2025-04-17,Opportunity,0,0,
D0131,C0163,L1496,R006,15530,2026-05-13,Proposal,0,0,
D0132,C0112,L1500,R001,10667,2026-04-05,Proposal,0,0,
D0133,C0020,L1504,R008,21162,2025-09-21,Closed Lost,1,0,2025-11-28
D0134,C0031,L1506,R002,10299,2025-08-11,Proposal,0,0,
D0135,C0200,L1517,R007,17302,2025-03-18,Closed Won,1,1,2025-05-10
D0136,C0040,L1526,R004,32315,2025-08-28,Closed Lost,1,0,2025-11-22
D0137,C0156,L1545,R006,21912,2026-04-12,Negotiation,0,0,
D0138,C0164,L1572,R012,31782,2026-02-27,Negotiation,0,0,
D0139,C0075,L1579,R008,27786,2025-01-08,Closed Lost,1,0,2025-03-05
D0140,C0027,L1580,R002,16929,2025-10-25,Proposal,0,0,
D0141,C0100,L1582,R008,19648,2025-09-13,Opportunity,0,0,
D0142,C0114,L1597,R001,12675,2026-03-13,Proposal,0,0,
D0143,C0082,L1600,R005,174077,2025-12-29,Closed Won,1,1,2026-02-10
