company_id,company_name,industry,employee_count,country
C0102,EchoDigital-102,Manufacturing,1500,France
C0103,ForgeSystems-103,Edtech,75,Spain
C0104,EchoSystems-104,Retail,120,Spain
C0105,OrbitWorks-105,Edtech,120,UK
C0106,EchoLabs-106,Retail,120,UK
C0107,DeltaBV-107,Fintech,75,Germany
C0108,AtlasSystems-108,Logistics,120,Netherlands
C0109,PineSystems-109,Manufacturing,1500,Belgium
C0110,NovaGroup-110,Media,900,France
C0111,NovaWorks-111,Media,1500,Netherlands
C0112,DeltaBV-112,Media,900,France
C0113,ForgeWorks-113,Healthtech,1500,Germany
C0114,OrbitSystems-114,Edtech,15,Belgium
C0115,DeltaDigital-115,Media,75,Belgium
C0116,VegaWorks-116,SaaS,900,France
C0117,KiteDigital-117,SaaS,40,Spain
C0118,PineGroup-118,Edtech,75,Netherlands
C0119,OrbitSystems-119,Manufacturing,120,Belgium
C0120,DeltaBV-120,Media,250,Belgium
C0121,OrbitLabs-121,Edtech,15,Spain
C0122,ForgeLabs-122,Manufacturing,120,Spain
C0123,LumenDigital-123,SaaS,15,Germany
C0124,AtlasLabs-124,Logistics,120,Germany
C0125,EchoDigital-125,Fintech,120,Belgium
C0126,OrbitBV-126,Logistics,40,Germany
C0127,OrbitLabs-127,SaaS,250,France
C0128,PineSystems-128,Healthtech,40,France
C0129,AtlasLabs-129,Retail,40,France
C0130,NovaBV-130,Media,500,Netherlands
C0131,ForgeDigital-131,Manufacturing,15,Belgium
C0132,EchoLabs-132,Media,500,Spain
C0133,EchoDigital-133,Logistics,900,Germany
C0134,ForgeDigital-134,Retail,1500,Belgium
C0135,PineDigital-135,Retail,500,Germany
C0136,LumenBV-136,Edtech,120,Belgium
C0137,KiteWorks-137,Media,500,Netherlands
C0138,EchoBV-138,Logistics,1500,Germany
C0139,DeltaBV-139,Manufacturing,250,France
C0140,OrbitWorks-140,SaaS,120,Netherlands
C0141,AtlasDigital-141,Media,1500,France
C0142,AtlasDigital-142,Edtech,1500,Belgium
C0143,NovaLabs-143,Retail,120,Belgium
C0144,AtlasBV-144,Manufacturing,1500,France
C0145,ForgeBV-145,Media,500,UK
C0146,EchoBV-146,Retail,250,Germany
C0147,LumenDigital-147,Healthtech,500,Netherlands
C0148,ForgeDigital-148,Logistics,120,Germany
C0149,EchoBV-149,Retail,40,Germany
C0150,OrbitGroup-150,Manufacturing,75,UK
C0151,NovaDigital-151,Logistics,250,Netherlands
C0152,NovaWorks-152,Retail,75,Spain
C0153,EchoLabs-153,SaaS,250,Belgium
C0154,EchoSystems-154,Manufacturing,75,Netherlands
C0155,OrbitSystems-155,Fintech,40,Belgium
C0156,EchoLabs-156,SaaS,75,Germany
C0157,KiteBV-157,Fintech,120,Netherlands
C0158,ForgeSystems-158,Healthtech,900,Belgium
C0159,EchoBV-159,Media,250,France
C0160,KiteLabs-160,Fintech,120,Spain
C0161,AtlasBV-161,Fintech,75,Germany
C0162,VegaWorks-162,Fintech,75,Netherlands
C0163,PineSystems-163,Edtech,250,Netherlands
C0164,AtlasBV-164,Retail,1500,Netherlands
C0165,AtlasBV-165,Healthtech,900,Netherlands
C0166,ForgeGroup-166,Logistics,250,Germany
C0167,LumenLabs-167,Logistics,250,France
C0168,KiteBV-168,Edtech,40,Belgium
C0169,OrbitDigital-169,Media,250,France
C0170,ForgeSystems-170,Edtech,40,France
C0171,NovaSystems-171,Manufacturing,250,Netherlands
C0172,LumenGroup-172,SaaS,250,France
C0173,NovaGroup-173,Edtech,1500,UK
C0174,VegaWorks-174,Media,1500,Netherlands
C0175,EchoBV-175,Media,500,UK
C0176,LumenGroup-176,Manufacturing,900,Spain
C0177,EchoBV-177,Media,15,Belgium
C0178,LumenBV-178,Retail,500,Netherlands
C0179,PineWorks-179,SaaS,1500,Belgium
C0180,NovaGroup-180,Manufacturing,1500,Spain
C0181,EchoLabs-181,Healthtech,250,France
C0182,VegaBV-182,Edtech,1500,Netherlands
C0183,NovaDigital-183,Healthtech,75,UK
C0184,ForgeLabs-184,Media,40,Germany
C0185,LumenSystems-185,Fintech,75,Belgium
C0186,OrbitWorks-186,Retail,900,Belgium
C0187,EchoGroup-187,Edtech,75,Belgium
C0188,AtlasWorks-188,Logistics,40,UK
C0189,PineBV-189,Retail,15,UK
C0190,OrbitWorks-190,Edtech,75,Belgium
C0191,ForgeSystems-191,Manufacturing,500,France
C0192,ForgeSystems-192,Edtech,500,Germany
C0193,AtlasWorks-193,Media,120,Belgium
C0194,NovaBV-194,Edtech,900,Belgium
C0195,VegaSystems-195,SaaS,75,France
C0196,KiteBV-196,Fintech,1500,Netherlands
C0197,ForgeSystems-197,SaaS,75,Belgium
C0198,VegaLabs-198,Edtech,250,UK
C0199,KiteDigital-199,Media,40,UK
C0200,ForgeSystems-200,Manufacturing,1500,France
C0201,NovaWorks-201,Fintech,120,Spain
C0202,OrbitGroup-202,Fintech,900,Netherlands
C0203,LumenSystems-203,Logistics,250,Netherlands
C0204,NovaBV-204,SaaS,250,UK
C0205,DeltaSystems-205,Logistics,120,France
C0206,PineWorks-206,Logistics,75,Germany
C0207,LumenWorks-207,Media,120,Belgium
C0208,KiteGroup-208,Healthtech,1500,Spain
C0209,OrbitSystems-209,Retail,15,Belgium
C0210,OrbitDigital-210,Logistics,40,Belgium
C0211,DeltaWorks-211,Retail,900,Spain
C0212,OrbitSystems-212,Retail,120,Belgium
C0213,EchoLabs-213,Healthtech,900,France
C0214,DeltaWorks-214,Retail,250,Netherlands
C0215,PineBV-215,SaaS,15,France
C0216,EchoBV-216,Healthtech,500,Germany
C0217,AtlasWorks-217,Retail,75,Spain
C0218,LumenDigital-218,SaaS,250,Belgium
C0219,NovaWorks-219,Manufacturing,75,Netherlands
C0220,OrbitBV-220,Media,75,Germany
