activity_id,deal_id,activity_type,activity_at
A00280,D0065,Demo,2025-05-01
A00281,D0065,Meeting,2025-05-02
A00282,D0065,Call,2025-05-01
A00283,D0065,Email,2025-05-05
A00284,D0066,Call,2025-03-04
A00285,D0066,Meeting,2025-03-19
A00286,D0066,Call,2025-03-18
A00287,D0066,Email,2025-03-26
A00288,D0067,Call,2026-03-03
A00289,D0067,Call,2026-02-17
A00290,D0067,Call,2026-02-05
A00291,D0067,Meeting,2026-02-01
A00292,D0067,Call,2026-02-08
A00293,D0067,Email,2026-02-13
A00294,D0068,Call,2025-08-11
A00295,D0068,Meeting,2025-08-12
A00296,D0068,Demo,2025-08-14
A00297,D0068,Meeting,2025-08-17
A00298,D0068,Meeting,2025-08-10
A00299,D0068,Call,2025-08-05
A00300,D0069,Demo,2025-04-24
A00301,D0069,Demo,2025-05-22
A00302,D0069,Call,2025-05-16
A00303,D0069,Email,2025-04-30
A00304,D0070,Meeting,2025-09-02
A00305,D0070,Demo,2025-09-03
A00306,D0070,Call,2025-09-03
A00307,D0070,Email,2025-09-02
A00308,D0071,Meeting,2026-05-09
A00309,D0071,Email,2026-05-12
A00310,D0071,Email,2026-05-10
A00311,D0071,Demo,2026-05-13
A00312,D0072,Meeting,2025-03-22
A00313,D0072,Demo,2025-03-21
A00314,D0072,Meeting,2025-03-22
A00315,D0072,Email,2025-03-22
A00316,D0072,Call,2025-03-21
A00317,D0072,Email,2025-03-21
A00318,D0073,Email,2025-03-09
A00319,D0073,Email,2025-03-01
A00320,D0073,Email,2025-03-14
A00321,D0074,Email,2025-06-27
A00322,D0074,Call,2025-06-29
A00323,D0074,Email,2025-07-14
A00324,D0074,Demo,2025-07-01
A00325,D0075,Meeting,2026-05-23
A00326,D0075,Email,2026-05-23
A00327,D0075,Call,2026-05-23
A00328,D0075,Call,2026-05-23
A00329,D0075,Email,2026-05-23
A00330,D0076,Demo,2025-02-12
A00331,D0076,Demo,2025-02-12
A00332,D0076,Meeting,2025-02-09
A00333,D0077,Email,2025-08-16
A00334,D0077,Demo,2025-05-04
A00335,D0077,Call,2025-07-13
A00336,D0078,Demo,2025-12-22
A00337,D0078,Meeting,2025-12-15
A00338,D0078,Meeting,2026-02-05
A00339,D0078,Demo,2025-12-16
A00340,D0078,Demo,2025-12-11
A00341,D0078,Demo,2026-02-27
A00342,D0079,Email,2025-04-21
A00343,D0079,Call,2025-04-24
A00344,D0079,Meeting,2025-04-25
A00345,D0079,Meeting,2025-04-27
A00346,D0080,Call,2025-06-24
A00347,D0080,Meeting,2025-07-22
A00348,D0080,Email,2025-07-19
A00349,D0081,Call,2025-04-01
A00350,D0081,Demo,2025-04-01
A00351,D0081,Demo,2025-03-31
A00352,D0081,Meeting,2025-03-31
A00353,D0081,Demo,2025-04-01
A00354,D0081,Email,2025-03-31
A00355,D0082,Meeting,2026-04-10
A00356,D0082,Meeting,2026-04-10
A00357,D0082,Meeting,2026-04-09
A00358,D0082,Call,2026-04-10
A00359,D0082,Call,2026-04-10
A00360,D0082,Email,2026-04-09
A00361,D0083,Meeting,2026-03-27
A00362,D0083,Email,2026-03-27
A00363,D0083,Call,2026-03-27
A00364,D0084,Call,2025-09-21
A00365,D0084,Meeting,2025-09-20
A00366,D0085,Demo,2025-06-29
A00367,D0085,Email,2025-06-29
A00368,D0085,Call,2025-06-29
A00369,D0085,Email,2025-06-30
A00370,D0085,Call,2025-06-28
A00371,D0085,Demo,2025-06-27
A00372,D0086,Email,2025-11-29
A00373,D0086,Email,2025-12-03
A00374,D0086,Demo,2025-12-02
A00375,D0086,Call,2025-12-02
A00376,D0086,Email,2025-11-30
A00377,D0087,Demo,2025-03-14
A00378,D0087,Demo,2025-03-08
A00379,D0087,Call,2025-03-15
A00380,D0087,Email,2025-03-14
A00381,D0088,Demo,2025-12-05
A00382,D0088,Demo,2025-11-27
A00383,D0088,Demo,2025-12-23
A00384,D0088,Call,2025-12-15
A00385,D0088,Email,2025-12-31
A00386,D0088,Email,2025-12-12
A00387,D0089,Demo,2025-05-24
A00388,D0089,Call,2025-06-08
A00389,D0089,Email,2025-04-19
A00390,D0089,Meeting,2025-04-19
A00391,D0089,Demo,2025-04-21
A00392,D0090,Email,2025-10-23
A00393,D0090,Demo,2025-10-16
A00394,D0091,Meeting,2025-07-15
A00395,D0091,Email,2025-07-05
A00396,D0091,Email,2025-06-29
A00397,D0092,Meeting,2025-05-31
A00398,D0092,Meeting,2025-06-05
A00399,D0092,Meeting,2025-05-31
A00400,D0093,Demo,2025-10-04
A00401,D0093,Call,2025-10-04
A00402,D0094,Email,2025-07-23
A00403,D0094,Demo,2025-07-16
A00404,D0094,Meeting,2025-07-16
A00405,D0094,Demo,2025-08-19
A00406,D0095,Demo,2026-01-16
A00407,D0095,Meeting,2026-01-04
A00408,D0095,Email,2026-01-03
A00409,D0095,Call,2026-01-04
A00410,D0096,Call,2026-04-27
A00411,D0096,Email,2026-04-21
A00412,D0096,Email,2026-04-21
A00413,D0096,Meeting,2026-04-25
A00414,D0096,Call,2026-04-29
A00415,D0097,Email,2025-05-12
A00416,D0097,Email,2025-04-06
A00417,D0098,Call,2025-10-18
A00418,D0098,Call,2025-10-11
A00419,D0098,Meeting,2025-10-12
A00420,D0098,Meeting,2025-10-11
A00421,D0098,Meeting,2025-10-15
A00422,D0098,Demo,2025-10-14
A00423,D0099,Email,2025-01-09
A00424,D0099,Email,2025-01-10
A00425,D0099,Demo,2025-01-09
A00426,D0100,Demo,2026-03-16
A00427,D0100,Call,2026-03-19
A00428,D0100,Demo,2026-03-15
A00429,D0100,Meeting,2026-03-17
A00430,D0101,Call,2026-05-07
A00431,D0101,Demo,2026-05-08
A00432,D0101,Meeting,2026-05-07
A00433,D0102,Demo,2025-02-14
A00434,D0102,Meeting,2025-02-17
A00435,D0102,Meeting,2025-01-27
A00436,D0102,Call,2025-01-27
A00437,D0102,Call,2025-01-22
A00438,D0102,Demo,2025-01-27
A00439,D0103,Meeting,2025-12-25
A00440,D0103,Email,2026-01-18
A00441,D0103,Meeting,2025-12-07
A00442,D0104,Demo,2026-05-09
A00443,D0104,Demo,2026-05-09
A00444,D0104,Demo,2026-05-09
A00445,D0105,Demo,2026-05-24
A00446,D0105,Demo,2026-05-19
A00447,D0105,Meeting,2026-05-18
A00448,D0105,Email,2026-05-26
A00449,D0105,Meeting,2026-05-22
A00450,D0106,Demo,2026-05-30
A00451,D0106,Email,2026-05-31
A00452,D0106,Demo,2026-05-31
A00453,D0106,Meeting,2026-05-31
A00454,D0106,Email,2026-05-30
A00455,D0107,Call,2025-11-29
A00456,D0107,Call,2025-11-26
A00457,D0108,Email,2025-01-28
A00458,D0108,Meeting,2025-02-04
A00459,D0108,Email,2025-03-13
A00460,D0108,Call,2025-02-23
A00461,D0109,Demo,2025-05-05
A00462,D0109,Call,2025-05-13
A00463,D0109,Meeting,2025-05-05
A00464,D0109,Call,2025-05-05
A00465,D0109,Demo,2025-05-09
A00466,D0110,Meeting,2025-11-04
A00467,D0110,Meeting,2025-11-06
A00468,D0110,Call,2025-11-04
A00469,D0110,Email,2025-11-03
A00470,D0111,Demo,2025-10-03
A00471,D0111,Meeting,2025-10-05
A00472,D0111,Email,2025-09-29
A00473,D0112,Demo,2026-04-19
A00474,D0112,Email,2026-03-08
A00475,D0112,Meeting,2026-03-24
A00476,D0112,Email,2026-05-02
A00477,D0112,Demo,2026-03-10
A00478,D0113,Call,2026-02-17
A00479,D0113,Demo,2026-02-17
A00480,D0114,Meeting,2026-03-19
A00481,D0114,Meeting,2026-03-16
A00482,D0114,Email,2026-02-17
A00483,D0114,Meeting,2026-03-13
A00484,D0115,Meeting,2026-03-04
A00485,D0115,Call,2026-03-14
A00486,D0115,Email,2026-01-17
A00487,D0115,Meeting,2026-01-14
A00488,D0115,Demo,2026-03-08
A00489,D0115,Demo,2026-02-27
A00490,D0116,Meeting,2026-02-04
A00491,D0116,Demo,2026-02-05
A00492,D0116,Call,2026-02-04
A00493,D0117,Email,2026-03-15
A00494,D0117,Call,2026-03-20
A00495,D0117,Meeting,2026-03-07
A00496,D0118,Call,2025-08-22
A00497,D0118,Demo,2025-07-25
A00498,D0118,Email,2025-08-29
A00499,D0119,Call,2025-09-06
A00500,D0119,Email,2025-08-29
A00501,D0119,Call,2025-09-06
A00502,D0119,Demo,2025-09-20
A00503,D0120,Call,2025-03-23
A00504,D0120,Call,2025-03-26
A00505,D0120,Demo,2025-03-27
A00506,D0120,Call,2025-03-22
A00507,D0120,Meeting,2025-03-22
A00508,D0121,Meeting,2026-01-24
A00509,D0121,Email,2026-02-02
A00510,D0121,Demo,2025-12-02
A00511,D0121,Call,2026-01-07
A00512,D0122,Demo,2025-10-28
A00513,D0122,Meeting,2025-11-15
A00514,D0123,Email,2025-07-19
A00515,D0123,Call,2025-06-13
A00516,D0123,Demo,2025-06-28
A00517,D0123,Email,2025-06-15
A00518,D0123,Meeting,2025-06-23
A00519,D0123,Email,2025-09-07
A00520,D0124,Meeting,2025-10-14
A00521,D0124,Email,2025-11-02
A00522,D0125,Email,2025-05-31
A00523,D0125,Email,2025-06-01
A00524,D0125,Email,2025-05-31
A00525,D0125,Meeting,2025-06-01
A00526,D0126,Email,2025-05-16
A00527,D0126,Email,2025-04-30
A00528,D0126,Email,2025-04-22
A00529,D0126,Demo,2025-05-30
A00530,D0127,Email,2025-06-12
A00531,D0127,Meeting,2025-05-31
A00532,D0127,Email,2025-06-27
A00533,D0127,Call,2025-06-23
A00534,D0128,Call,2025-11-08
A00535,D0128,Email,2025-11-08
A00536,D0128,Demo,2025-11-09
A00537,D0128,Meeting,2025-11-09
A00538,D0128,Email,2025-11-08
A00539,D0128,Call,2025-11-09
A00540,D0129,Email,2026-02-14
A00541,D0129,Call,2026-01-19
A00542,D0129,Call,2026-03-03
A00543,D0130,Demo,2025-04-18
A00544,D0130,Email,2025-04-17
A00545,D0130,Meeting,2025-04-18
A00546,D0130,Demo,2025-04-18
A00547,D0130,Email,2025-04-18
A00548,D0131,Meeting,2026-05-18
A00549,D0131,Email,2026-05-17
A00550,D0131,Meeting,2026-05-20
A00551,D0131,Demo,2026-05-23
A00552,D0131,Call,2026-05-23
A00553,D0131,Meeting,2026-05-21
A00554,D0132,Call,2026-04-11
A00555,D0132,Meeting,2026-04-09
A00556,D0132,Email,2026-04-10
A00557,D0132,Email,2026-04-07
A00558,D0132,Email,2026-04-05
A00559,D0132,Email,2026-04-10
A00560,D0133,Email,2025-10-26
A00561,D0133,Email,2025-11-11
A00562,D0134,Meeting,2025-08-11
A00563,D0134,Demo,2025-08-15
A00564,D0134,Call,2025-08-21
A00565,D0134,Demo,2025-08-17
A00566,D0135,Meeting,2025-05-06
A00567,D0135,Email,2025-03-31
A00568,D0135,Meeting,2025-05-04
A00569,D0135,Demo,2025-05-05
A00570,D0135,Meeting,2025-05-06
A00571,D0136,Email,2025-11-02
A00572,D0136,Demo,2025-11-16
A00573,D0136,Demo,2025-09-30
A00574,D0136,Meeting,2025-09-30
A00575,D0136,Demo,2025-10-14
A00576,D0137,Call,2026-05-03
A00577,D0137,Email,2026-05-01
A00578,D0137,Meeting,2026-04-30
A00579,D0137,Email,2026-04-26
A00580,D0138,Demo,2026-03-25
A00581,D0138,Email,2026-03-01
A00582,D0139,Email,2025-02-23
A00583,D0139,Meeting,2025-01-31
A00584,D0140,Demo,2025-10-29
A00585,D0140,Demo,2025-11-01
A00586,D0140,Email,2025-11-01
A00587,D0140,Meeting,2025-10-30
A00588,D0140,Demo,2025-11-01
A00589,D0141,Email,2025-09-14
A00590,D0141,Demo,2025-09-14
A00591,D0141,Demo,2025-09-14
A00592,D0141,Demo,2025-09-14
A00593,D0142,Meeting,2026-03-18
A00594,D0142,Call,2026-03-18
A00595,D0142,Call,2026-03-15
A00596,D0142,Email,2026-03-17
A00597,D0142,Demo,2026-03-15
A00598,D0142,Call,2026-03-16
A00599,D0143,Call,2026-02-10
A00600,D0143,Meeting,2026-01-22
A00601,D0143,Meeting,2026-01-21
A00602,D0143,Demo,2026-01-24
A00603,D0143,Meeting,2026-01-06
